2024-08-19/22:07:53		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:07:53		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:07:53		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:07:53		Entered the load_model method of the File_Operation class
2024-08-19/22:07:53		Model File Insutance_Fraud_Detection_Model loaded. Exited the load_model method of the Model_Finder class
2024-08-19/22:07:53		Entered the predict_results method of  preprocessor training class 
2024-08-19/22:07:53		Entered the add_features method of  preprocessor training class 
2024-08-19/22:07:53		 Sucessfully predicted results 
2024-08-19/22:16:58		Entered the preprocessor training class 
2024-08-19/22:16:58		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:16:58		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:16:58		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:16:58		Replaced ? in data with Nan
2024-08-19/22:16:58		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:16:58		Entered the remove_columns method of the Preprocessor class
2024-08-19/22:16:58		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/22:16:58		Entered the is_null_present method of the Preprocessor class
2024-08-19/22:16:58		Finding missing values is a success.
2024-08-19/22:16:58		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/22:16:58		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/22:16:58		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:16:58		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:16:58		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:16:58		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:16:58		Entered the load_model method of the File_Operation class
2024-08-19/22:16:58		Model File Insutance_Fraud_Detection_Model loaded. Exited the load_model method of the Model_Finder class
2024-08-19/22:16:58		Entered the predict_results method of  preprocessor training class 
2024-08-19/22:16:58		Entered the add_features method of  preprocessor training class 
2024-08-19/22:16:58		 Sucessfully predicted results 
2024-08-19/22:17:45		Entered the preprocessor training class 
2024-08-19/22:17:45		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:17:45		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:17:45		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:17:45		Replaced ? in data with Nan
2024-08-19/22:17:45		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:17:45		Entered the remove_columns method of the Preprocessor class
2024-08-19/22:17:45		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/22:17:45		Entered the is_null_present method of the Preprocessor class
2024-08-19/22:17:45		Finding missing values is a success.
2024-08-19/22:17:45		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/22:17:45		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/22:17:45		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:17:45		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:17:45		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:17:45		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:17:45		Entered the load_model method of the File_Operation class
2024-08-19/22:17:45		Model File Insutance_Fraud_Detection_Model loaded. Exited the load_model method of the Model_Finder class
2024-08-19/22:17:45		Entered the predict_results method of  preprocessor training class 
2024-08-19/22:17:45		Entered the add_features method of  preprocessor training class 
2024-08-19/22:17:45		 Sucessfully predicted results 
2024-08-19/22:18:01		Entered the preprocessor training class 
2024-08-19/22:18:01		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:18:01		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:18:01		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:18:01		Replaced ? in data with Nan
2024-08-19/22:18:01		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:18:01		Entered the remove_columns method of the Preprocessor class
2024-08-19/22:18:01		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/22:18:01		Entered the is_null_present method of the Preprocessor class
2024-08-19/22:18:01		Finding missing values is a success.
2024-08-19/22:18:01		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/22:18:01		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/22:18:01		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:18:01		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:18:01		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:18:01		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:18:01		Entered the load_model method of the File_Operation class
2024-08-19/22:18:01		Model File Insutance_Fraud_Detection_Model loaded. Exited the load_model method of the Model_Finder class
2024-08-19/22:18:01		Entered the predict_results method of  preprocessor training class 
2024-08-19/22:18:01		Entered the add_features method of  preprocessor training class 
2024-08-19/22:18:01		 Sucessfully predicted results 
